base,target,top0,top1,top2,k_order,k_score
belgrade,serbia,belgrade,serbia,lebanon,1,0.678768814
manila,philippines,manila,philippines,philippine,1,0.738674104
paris,france,paris,france,french,1,0.692115188
lilongwe,malawi,malawi,lilongwe,gabon,0,0.703917921
abuja,nigeria,abuja,nigeria,lagos,1,0.671341062
beijing,china,beijing,china,hong,1,0.733512521
kiev,ukraine,ukraine,kiev,russia,0,0.792411923
tunis,tunisia,tunis,tunisia,libya,1,0.744374752
amman,jordan,amman,arabia,kuwait,,
libreville,gabon,libreville,gabon,brazzaville,1,0.521067739
moscow,russia,russia,moscow,ukraine,0,0.774585247
dublin,ireland,dublin,ireland,belfast,1,0.645275533
accra,ghana,ghana,nigeria,accra,0,0.783142
manama,bahrain,bahrain,manama,tunisia,0,0.706793249
stockholm,sweden,stockholm,sweden,finland,1,0.715741634
havana,cuba,cuba,havana,cuban,0,0.744034708
dushanbe,tajikistan,dushanbe,tajikistan,kyrgyzstan,1,0.662823617
madrid,spain,madrid,spain,argentina,1,0.731160879
nairobi,kenya,nairobi,kenya,tanzania,1,0.672932804
valletta,malta,valletta,malta,luxembourg,1,0.645358503
apia,samoa,apia,samoa,madagascar,1,0.54653722
tokyo,japan,japan,tokyo,korea,0,0.787654817
riga,latvia,riga,latvia,estonia,1,0.684964597
conakry,guinea,conakry,guinea,eritrea,1,0.633019149
doha,qatar,doha,qatar,bahrain,1,0.679507494
georgetown,guyana,georgetown,university,columbia,,
ankara,turkey,jordan,ankara,turkey,2,0.541824579
warsaw,poland,poland,warsaw,hungary,0,0.803661168
tegucigalpa,honduras,carolina,honduras,georgia,1,0.585477233
minsk,belarus,belarus,minsk,ukraine,0,0.752332151
lusaka,zambia,zambia,lusaka,angola,0,0.741910577
rabat,morocco,rabat,morocco,algeria,1,0.670819283
asmara,eritrea,asmara,eritrea,turkmenistan,1,0.70054096
lisbon,portugal,lisbon,portugal,peru,1,0.64683497
vilnius,lithuania,lithuania,vilnius,latvia,0,0.736375213
santiago,chile,santiago,domingo,dominican,,
mogadishu,somalia,somalia,mogadishu,somali,0,0.796818674
london,england,london,uk,britain,,
bujumbura,burundi,bujumbura,burundi,faso,1,0.688221276
dakar,senegal,dakar,senegal,cameroon,1,0.626972079
vienna,austria,vienna,austria,berlin,1,0.657390952
ashgabat,turkmenistan,ashgabat,turkmenistan,samoa,1,0.598285198
montevideo,uruguay,montevideo,uruguay,liberia,1,0.567452133
taipei,taiwan,taiwan,taipei,hong,0,0.727717
kingston,jamaica,kingston,jamaica,west,1,0.538666248
nuuk,greenland,nuuk,mauritania,greenland,2,0.459774494
quito,ecuador,quito,ecuador,peru,1,0.71846503
belmopan,belize,belmopan,belize,albania,1,0.549377739
gaborone,botswana,gaborone,tuvalu,botswana,2,0.573009551
skopje,macedonia,skopje,macedonia,albania,1,0.606069624
kabul,afghanistan,afghanistan,kabul,pakistan,0,0.743141711
tashkent,uzbekistan,uzbekistan,tashkent,tajikistan,0,0.756923437
brussels,belgium,brussels,belgium,france,1,0.74307853
cairo,egypt,cairo,egypt,tunisia,1,0.731628835
nicosia,cyprus,nicosia,cyprus,niger,1,0.649744153
algiers,algeria,algeria,algiers,ethiopia,0,0.728111267
kigali,rwanda,kigali,rwanda,burundi,1,0.739003
antananarivo,madagascar,antananarivo,turkey,madagascar,2,0.530079126
sofia,bulgaria,sofia,bulgaria,macedonia,1,0.656737387
copenhagen,denmark,copenhagen,denmark,norway,1,0.618404269
bangkok,thailand,bangkok,thailand,phuket,1,0.738487899
funafuti,tuvalu,funafuti,turkmenistan,tuvalu,2,0.522293389
budapest,hungary,hungary,budapest,romania,0,0.851357639
tehran,iran,iran,tehran,iranian,0,0.827116549
hanoi,vietnam,hanoi,cambodia,guyana,,
khartoum,sudan,sudan,khartoum,sudanese,0,0.789675415
tallinn,estonia,tallinn,estonia,finland,1,0.74849534
lima,peru,lima,peru,brazil,1,0.650748193
athens,greece,athens,greece,georgia,1,0.642552257
dhaka,bangladesh,dhaka,bangladesh,pakistan,1,0.735197365
tirana,albania,tirana,albania,bhutan,1,0.684253812
nassau,bahamas,nassau,bahamas,jamaica,1,0.593379498
oslo,norway,oslo,norway,greenland,1,0.673114717
windhoek,namibia,windhoek,namibia,botswana,1,0.730074644
bratislava,slovakia,slovakia,bratislava,hungary,0,0.817578852
astana,kazakhstan,astana,kazakhstan,armenia,1,0.616303265
damascus,syria,damascus,syria,lebanon,1,0.623348594
tbilisi,georgia,tbilisi,azerbaijan,moldova,,
bucharest,romania,romania,bucharest,hungary,0,0.711248696
zagreb,croatia,croatia,zagreb,serbia,0,0.747328103
yerevan,armenia,armenia,yerevan,azerbaijan,0,0.717859387
niamey,niger,niamey,niger,mauritania,1,0.511839688
kathmandu,nepal,nepal,kathmandu,bhutan,0,0.840306759
nouakchott,mauritania,nouakchott,mauritania,mauritius,1,0.61731869
