base,target,top0,top1,top2,k_order,k_score
pleasure,hedonist,aesthete,pleasure,pleasurable,,
stare,glance,stare,nudge,blankly,,
estimable,praise,estimable,condemn,criticize,,
housemates,residence,age,housemates,aged,,
surreptitious,stealth,craftiness,surreptitious,cunning,,
clamp,grip,clamp,clamping,clamps,,
sweater,wool,sweater,cardigan,sweaters,,
rings,jeweler,rings,ring,jeweler,2,0.489998668
hypnotist,subject,hypnotist,marionette,hypnotists,,
goad,urge,goad,criticize,oppose,,
abridge,book,abridge,word,make,,
dinosaur,reptile,bird,dinosaur,birds,,
imitation,forgery,imitation,imitations,knockoff,,
degree,temperature,degree,sound,well,,
heroism,praise,punishment,heroism,sacrifice,,
corridor,building,mine,corridor,hers,,
antidote,poisoning,antidote,infection,virus,,
quibble,objection,quibble,guarantee,quibbles,,
range,mountains,range,stars,5,,
indelible,erased,reformed,indelible,presbyterian,,
corn,husk,peel,corn,potatoes,,
apathetic,caring,apathetic,depth,breadth,,
revere,admire,save,revere,compare,,
idol,adulation,idol,ostracism,contestant,,
anthology,poem,anthology,article,written,,
professor,knowledge,professor,faculty,university,,
frugal,wastefulness,indiscretion,frugal,indiscretions,,
emotional,feelings,emotional,emotions,feelings,2,0.600890577
radiant,happiness,radiant,anger,emotions,,
novel,book,novel,poem,tale,,
spider,legs,spider,wings,scorpion,,
intrepid,fear,intrepid,shape,fit,,
mimic,gesture,person,persons,someone,,
modify,invariable,modify,untenable,unworkable,,
coronation,reign,coronation,marriage,marriages,,
freighter,cargo,freighter,passengers,freighters,,
retreat,position,retreat,country,resort,,
cloudburst,rain,wind,solar,cloudburst,,
code,principles,code,values,codes,,
unready,prepare,unready,develop,establish,,
limerick,poem,limerick,dublin,galway,,
aquatic,water,land,lands,acres,,
garish,brightness,garish,sweetness,bright,,
corrupted,morality,alloy,corrupted,wheel,,
jurisprudence,law,argumentation,jurisprudence,discourse,,
hoarse,speech,mobility,hoarse,slurred,,
ingenuous,innocence,curiosity,curiousity,imagination,,
abhor,dislike,abhor,detest,consume,,
forum,discussion,forum,conflict,discussion,2,0.604391
hire,employee,hire,property,hired,,
snack,meal,snack,sleep,eat,,
stubborn,obdurate,stubborn,bellicose,hard-headed,,
tooth,comb,tooth,teeth,dental,,
covetous,rapacious,covetous,avaricious,envious,,
luxurious,spare,luxurious,elegant,stylish,,
tendril,vine,tendril,octopus,tendrils,,
reciprocate,favor,wrong,reciprocate,think,,
pencil,draw,pencil,pencils,pen,,
browse,read,converse,browse,footwear,,
revive,exhausted,worn,wearing,wear,,
famine,nourishment,rain,famine,darkness,,
rule,game,society,rule,societies,,
congratulation,victor,mourner,congratz,congrads,,
enlighten,ignorant,enlighten,pinioned,illuminate,,
gaunt,rotund,gaunt,haggard,sallow,,
manual,instructions,manual,maps,manuals,,
drill,dentist,drill,photographer,drilling,,
passengers,bus,passengers,truck,suv,,
annoying,obnoxious,annoying,blaring,obnoxious,2,0.559551477
rough,texture,sound,rough,sounds,,
annoy,irritation,embarrassment,annoy,insult,,
diamond,hard,diamond,diamonds,platinum,,
enigma,puzzle,obesity,enigma,diabetes,,
lobbyist,persuade,lobbyist,disconcert,lobbyists,,
naive,sophistication,compassion,naive,empathy,,
musician,orchestra,cast,band,musicians,,
botanist,capsicum,tyrannosaurus,botanist,linnaeus,,
school,fish,school,teacher,schools,,
gift,recipient,gift,heir,gifts,,
weak,strong,weak,strong,weaker,1,0.55274564
expertise,authority,expertise,knowledge,experience,,
document,assertion,document,claim,documents,,
proselytize,religion,principles,principle,tenets,,
influenza,feverish,influenza,flu,h1n1,,
motorist,drives,walks,motorist,walked,,
detergent,clean,detergent,detergents,dishwashing,,
administrator,hospital,store,stores,shop,,
egg,bird,egg,eggs,plant,,
extricate,difficulty,blame,trying,situation,,
telescope,eye,telescope,ear,eye,2,0.516236305
hide,discovery,work,hide,all,,
aluminum,metal,aluminum,steel,gas,,
stiff,bend,stiff,flow,down,,
ice,cake,ice,pottery,hockey,,
pretender,monarch,pretender,doctor,patient,,
desultory,direction,energy,renewable,electricity,,
steal,confiscate,execute,steal,executing,,
amplify,volume,appearance,tone,impression,,
wave,hand,wave,wing,waves,,
pine,tree,pine,oak,cedar,,
coalition,factions,coalition,alliance,metals,,
frown,anger,happiness,unhappiness,frown,,
melt,liquid,solid,melt,metal,,
lion,cat,lion,reptile,animal,,
rate,prevalent,rate,novel,rates,,
afterword,book,play,playing,plays,,
tenant,dwelling,tenant,office,apartment,,
prophet,revelation,prophet,message,jesus,,
prophet,predict,prophet,guide,guides,,
libertarian,tyranny,libertarian,orthodoxy,conservatism,,
braggart,boast,beg,braggart,implore,,
shore,ocean,shore,country,shores,,
watch,timepiece,watch,watches,watching,,
ephemeral,eternal,epic,cinematic,awesome,,
partner,business,crime,partner,partners,,
navigable,sailing,navigable,cultivation,vessel,,
unfrock,minister,navigable,cultivation,vessel,,
coach,athlete,coach,coaches,pupil,,
sand,wood,metal,sand,rock,,
placid,calmness,placid,inconsistency,inconsistencies,,
visage,countenance,charm,visage,elegance,,
stagnate,flow,stagnate,depart,stagnates,,
adversary,opposition,proximity,adversary,adversaries,,
menu,diner,menu,shopper,menus,,
chair,furniture,chair,domicile,vice-chair,,
reservoir,lake,reservoir,waterway,reservoirs,,
