base,target,top0,top1,top2,top3,top4,k_order,k_score
strong__stronger,tall__taller,strong__stronger,wealthy__wealthier,smart__smarter,tough__tougher,healthy__healthier,,
simple__simpler,slow__slower,simple__simpler,easy__easier,safe__safer,nice__nicer,strict__stricter,,
low__lower,new__newer,low__lower,high__higher,small__smaller,wide__wider,low__lowest,,
heavy__heavier,high__higher,heavy__heavier,bright__brighter,loud__louder,hard__harder,large__larger,,
high__higher,hot__hotter,high__higher,large__larger,wide__wider,big__bigger,deep__deeper,,
tight__tighter,tough__tougher,tight__tighter,sharp__sharper,bright__brighter,tough__tougher,strict__stricter,3,0.957632959
sharp__sharper,short__shorter,sharp__sharper,bright__brighter,tight__tighter,loud__louder,tough__tougher,,
loud__louder,low__lower,loud__louder,bright__brighter,hard__harder,heavy__heavier,fast__faster,,
safe__safer,sharp__sharper,safe__safer,simple__simpler,easy__easier,nice__nicer,bright__brighter,,
bad__worse,big__bigger,bad__worse,sad__sadder,good__better,scary__scarier,noisy__noisier,,
good__better,great__greater,good__better,bad__worse,great__greater,tasty__tastier,sad__sadder,2,0.910126567
short__shorter,simple__simpler,short__shorter,small__smaller,mild__milder,tall__taller,tiny__tinier,,
hot__hotter,large__larger,hot__hotter,warm__warmer,cold__colder,fast__faster,sexy__sexier,,
cold__colder,cool__cooler,cold__colder,hot__hotter,warm__warmer,cool__cooler,cute__cuter,3,0.939279497
tall__taller,tight__tighter,tall__taller,bright__brighter,sharp__sharper,big__bigger,large__larger,,
weak__weaker,wide__wider,weak__weaker,dumb__dumber,strong__stronger,lazy__lazier,wealthy__wealthier,,
wide__wider,young__younger,wide__wider,large__larger,big__bigger,bright__brighter,tall__taller,,
smart__smarter,strong__stronger,smart__smarter,easy__easier,loud__louder,strong__stronger,nice__nicer,3,0.954955697
long__longer,loud__louder,long__longer,big__bigger,tall__taller,large__larger,wide__wider,,
deep__deeper,easy__easier,deep__deeper,bright__brighter,big__bigger,hard__harder,high__higher,,
slow__slower,small__smaller,slow__slower,fast__faster,loud__louder,hard__harder,small__smaller,4,0.95360136
old__older,quick__quicker,old__older,young__younger,wealthy__wealthier,strong__stronger,hardy__hardier,,
small__smaller,smart__smarter,small__smaller,bright__brighter,slow__slower,tiny__tinier,large__larger,,
great__greater,hard__harder,great__greater,big__bigger,large__larger,huge__huger,strong__stronger,,
quick__quicker,safe__safer,quick__quicker,fast__faster,loud__louder,slow__slower,smart__smarter,,
hard__harder,heavy__heavier,hard__harder,loud__louder,bright__brighter,heavy__heavier,tough__tougher,3,0.967400968
new__newer,old__older,new__newer,old__older,great__greater,cheap__cheaper,young__younger,1,0.890346587
cheap__cheaper,cold__colder,cheap__cheaper,easy__easier,smart__smarter,quick__quicker,loud__louder,,
easy__easier,fast__faster,easy__easier,simple__simpler,smart__smarter,safe__safer,nice__nicer,,
warm__warmer,weak__weaker,warm__warmer,hot__hotter,fast__faster,bright__brighter,happy__happier,,
big__bigger,bright__brighter,big__bigger,large__larger,loud__louder,hard__harder,bright__brighter,4,0.96108216
young__younger,bad__worse,young__younger,old__older,wealthy__wealthier,healthy__healthier,strong__stronger,,
fast__faster,good__better,fast__faster,quick__quicker,loud__louder,slow__slower,bright__brighter,,
tough__tougher,warm__warmer,tough__tougher,hard__harder,bright__brighter,tight__tighter,sharp__sharper,,
consistent__inconsistent,convincing__unconvincing,consistent__inconsistent,reliable__unreliable,believable__unbelievable,efficient__inefficient,competent__incompetent,,
efficient__inefficient,ethical__unethical,efficient__inefficient,competent__incompetent,successful__unsuccessful,satisfactory__unsatisfactory,informative__uninformative,,
convincing__unconvincing,convenient__inconvenient,convincing__unconvincing,impressive__unimpressive,interesting__uninteresting,logical__illogical,familiar__unfamiliar,,
possible__impossible,possibly__impossibly,possible__impossible,believable__unbelievable,acceptable__unacceptable,suitable__unsuitable,able__unable,,
rational__irrational,reasonable__unreasonable,rational__irrational,logical__illogical,normal__abnormal,lawful__unlawful,reasonable__unreasonable,4,0.936182678
sure__unsure,tasteful__distasteful,sure__unsure,certain__uncertain,aware__unaware,clear__vague,clear__unclear,,
decided__undecided,efficient__inefficient,decided__undecided,resolved__unresolved,published__unpublished,employed__unemployed,used__unused,,
likely__unlikely,logical__illogical,likely__unlikely,usual__unusual,possible__impossible,able__unable,related__unrelated,,
possibly__impossibly,productive__unproductive,possibly__impossibly,likely__unlikely,possible__impossible,usual__unusual,realistic__unrealistic,,
fortunate__unfortunate,honest__dishonest,fortunate__unfortunate,lucky__unlucky,responsible__irresponsible,popular__unpopular,reliable__unreliable,,
