base,target,top0,top1,top2,top3,top4,k_order,k_score
belgrade,serbia,belgrade,serbia,lebanon,macedonia,kosovo,1,0.678768814
manila,philippines,manila,philippines,philippine,singapore,cebu,1,0.738674104
paris,france,paris,france,french,belgium,pierre,1,0.692115188
lilongwe,malawi,malawi,lilongwe,gabon,botswana,zambia,0,0.703917921
abuja,nigeria,abuja,nigeria,lagos,ghana,somalia,1,0.671341062
beijing,china,beijing,china,hong,taiwan,shanghai,1,0.733512521
kiev,ukraine,ukraine,kiev,russia,kyiv,bulgaria,0,0.792411923
tunis,tunisia,tunis,tunisia,libya,algeria,egypt,1,0.744374752
amman,jordan,amman,arabia,kuwait,algeria,syria,,
libreville,gabon,libreville,gabon,brazzaville,nouakchott,mauritius,1,0.521067739
moscow,russia,russia,moscow,ukraine,belarus,russian,0,0.774585247
dublin,ireland,dublin,ireland,belfast,manchester,glasgow,1,0.645275533
accra,ghana,ghana,nigeria,accra,cameroon,africa,0,0.783142
manama,bahrain,bahrain,manama,tunisia,kuwait,oman,0,0.706793249
stockholm,sweden,stockholm,sweden,finland,norway,estonia,1,0.715741634
havana,cuba,cuba,havana,cuban,mexico,honduras,0,0.744034708
dushanbe,tajikistan,dushanbe,tajikistan,kyrgyzstan,uzbekistan,turkmenistan,1,0.662823617
madrid,spain,madrid,spain,argentina,barcelona,portugal,1,0.731160879
nairobi,kenya,nairobi,kenya,tanzania,uganda,ghana,1,0.672932804
valletta,malta,valletta,malta,luxembourg,liechtenstein,latvia,1,0.645358503
apia,samoa,apia,samoa,madagascar,fiji,caribbean,1,0.54653722
tokyo,japan,japan,tokyo,korea,europe,asia,0,0.787654817
riga,latvia,riga,latvia,estonia,lithuania,poland,1,0.684964597
conakry,guinea,conakry,guinea,eritrea,papua,senegal,1,0.633019149
doha,qatar,doha,qatar,bahrain,oman,kuwait,1,0.679507494
georgetown,guyana,georgetown,university,columbia,carolina,georgia,,
ankara,turkey,jordan,ankara,turkey,blair,bryant,2,0.541824579
warsaw,poland,poland,warsaw,hungary,lithuania,latvia,0,0.803661168
tegucigalpa,honduras,carolina,honduras,georgia,florida,tegucigalpa,1,0.585477233
minsk,belarus,belarus,minsk,ukraine,lithuania,moldova,0,0.752332151
lusaka,zambia,zambia,lusaka,angola,zimbabwe,botswana,0,0.741910577
rabat,morocco,rabat,morocco,algeria,tunisia,arabia,1,0.670819283
asmara,eritrea,asmara,eritrea,turkmenistan,tajikistan,albania,1,0.70054096
lisbon,portugal,lisbon,portugal,peru,morocco,bolivia,1,0.64683497
vilnius,lithuania,lithuania,vilnius,latvia,estonia,poland,0,0.736375213
santiago,chile,santiago,domingo,dominican,salvador,pedro,,
mogadishu,somalia,somalia,mogadishu,somali,sudan,yemen,0,0.796818674
london,england,london,uk,britain,england,u.k.,3,0.715591669
bujumbura,burundi,bujumbura,burundi,faso,burkina,benin,1,0.688221276
dakar,senegal,dakar,senegal,cameroon,algeria,mauritania,1,0.626972079
vienna,austria,vienna,austria,berlin,germany,switzerland,1,0.657390952
ashgabat,turkmenistan,ashgabat,turkmenistan,samoa,uzbekistan,azerbaijan,1,0.598285198
montevideo,uruguay,montevideo,uruguay,liberia,paraguay,ghana,1,0.567452133
taipei,taiwan,taiwan,taipei,hong,kong,singapore,0,0.727717
kingston,jamaica,kingston,jamaica,west,canada,ireland,1,0.538666248
nuuk,greenland,nuuk,mauritania,greenland,algeria,burundi,2,0.459774494
quito,ecuador,quito,ecuador,peru,colombia,paraguay,1,0.71846503
belmopan,belize,belmopan,belize,albania,guatemala,benin,1,0.549377739
gaborone,botswana,gaborone,tuvalu,botswana,francistown,turkmenistan,2,0.573009551
skopje,macedonia,skopje,macedonia,albania,bulgaria,serbia,1,0.606069624
kabul,afghanistan,afghanistan,kabul,pakistan,afghan,iraq,0,0.743141711
tashkent,uzbekistan,uzbekistan,tashkent,tajikistan,kyrgyzstan,kazakhstan,0,0.756923437
brussels,belgium,brussels,belgium,france,switzerland,netherlands,1,0.74307853
cairo,egypt,cairo,egypt,tunisia,sudan,morocco,1,0.731628835
