base,target,top0,top1,top2,top3,top4,k_order,k_score
hitler__dictator,strauss__composer,hitler__dictator,napoleon__emperor,charlatan__impostor,superman__emperor,truman__president,,
rousseau__writer,hegel__philosopher,rousseau__writer,tolstoi__novelist,andersen__writer,raphael__painter,wagner__composer,,
kant__philosopher,lincoln__president,kant__philosopher,mencius__philosopher,locke__philosopher,raphael__painter,tolstoi__novelist,,
stalin__dictator,hawking__physicist,stalin__dictator,newton__scientist,strauss__composer,stalin__napoleon,kepler__mathematician,,
descartes__mathematician,dante__poet,descartes__mathematician,hume__philosopher,maxwell__physicist,raphael__painter,pacino__actor,,
spinoza__philosopher,shakespeare__playwright,spinoza__philosopher,marx__philosopher,dante__poet,wittgenstein__philosopher,goethe__poet,,
truman__president,hawking__physicist,truman__president,napoleon__emperor,lincoln__president,daddy__chairman,caesar__emperor,,
beethoven__composer,columbus__explorer,beethoven__composer,shakespeare__playwright,goethe__poet,dante__poet,euler__mathematician,,
hume__philosopher,shakespeare__playwright,hume__philosopher,descartes__mathematician,pacino__actor,dickens__novelist,pascal__mathematician,,
tolstoi__novelist,confucius__philosopher,tolstoi__novelist,raphael__painter,rousseau__writer,kant__philosopher,locke__philosopher,,
newton__scientist,caesar__emperor,newton__scientist,strauss__composer,kepler__mathematician,stalin__dictator,theory__scientist,,
confucius__philosopher,edison__inventor,confucius__philosopher,marx__philosopher,spinoza__philosopher,dante__poet,wittgenstein__philosopher,,
einstein__physicist,pascal__mathematician,einstein__physicist,euler__mathematician,shakespeare__playwright,goethe__poet,michelangelo__sculptor,,
hawking__physicist,pacino__actor,hawking__physicist,rescue__knight,sue__lawyer,husbandry__herder,bake__baker,,
moses__prophet,shakespeare__playwright,moses__prophet,kant__philosopher,mencius__philosopher,raphael__caesar,raphael__painter,,
wagner__composer,michelangelo__sculptor,wagner__composer,darwin__naturalist,andersen__writer,wittgenstein__philosopher,tolstoi__novelist,,
pacino__actor,kepler__mathematician,pacino__actor,hegel__philosopher,pascal__mathematician,raphael__painter,tolstoi__novelist,,
jolie__actress,michelangelo__sculptor,jolie__actress,fear__victim,division__nomad,passion__enthusiast,faith__follower,,
dickens__novelist,spinoza__philosopher,dickens__novelist,hume__philosopher,hegel__philosopher,pacino__actor,descartes__mathematician,,
shakespeare__playwright,wittgenstein__philosopher,shakespeare__playwright,beethoven__composer,goethe__poet,michelangelo__sculptor,dante__poet,,
michelangelo__sculptor,maxwell__physicist,michelangelo__sculptor,shakespeare__playwright,beethoven__composer,confucius__philosopher,einstein__physicist,,
darwin__naturalist,descartes__mathematician,darwin__naturalist,wagner__composer,marx__philosopher,wittgenstein__philosopher,schwarzenegger__actor,,
wittgenstein__philosopher,andersen__writer,wittgenstein__philosopher,spinoza__philosopher,marx__philosopher,goethe__poet,confucius__philosopher,,
rembrandt__painter,einstein__physicist,rembrandt__painter,haydn__composer,maxwell__physicist,rousseau__writer,hegel__philosopher,,
kepler__mathematician,strauss__composer,kepler__mathematician,strauss__composer,building__architect,machine__politician,house__architect,1,0.911582053
strauss__composer,schwarzenegger__actor,strauss__composer,kepler__mathematician,building__architect,choreograph__choreographer,argument__debater,,
napoleon__emperor,jolie__actress,napoleon__emperor,truman__president,caesar__emperor,confucius__philosopher,wittgenstein__philosopher,,
schwarzenegger__actor,hawking__physicist,schwarzenegger__actor,wittgenstein__philosopher,darwin__naturalist,marx__philosopher,picasso__painter,,
edison__inventor,michelangelo__sculptor,edison__inventor,haydn__composer,hegel__philosopher,pacino__actor,columbus__explorer,,
pascal__mathematician,hume__philosopher,pascal__mathematician,pacino__actor,hegel__philosopher,raphael__painter,locke__philosopher,,
mencius__philosopher,descartes__mathematician,mencius__philosopher,kant__philosopher,confucius__philosopher,marx__philosopher,wittgenstein__philosopher,,
hegel__philosopher,beethoven__composer,hegel__philosopher,pacino__actor,locke__philosopher,tolstoi__novelist,raphael__painter,,
haydn__composer,kant__philosopher,haydn__composer,plato__philosopher,maxwell__physicist,rembrandt__painter,edison__inventor,,
mozart__composer,plato__philosopher,mozart__composer,song__musician,contract__lawyer,painting__artist,sketch__artist,,
locke__philosopher,descartes__mathematician,locke__philosopher,mencius__philosopher,kant__philosopher,tolstoi__novelist,wittgenstein__philosopher,,
lincoln__president,spinoza__philosopher,lincoln__president,truman__president,napoleon__emperor,marx__philosopher,darwin__naturalist,,
aristotle__philosopher,haydn__composer,aristotle__philosopher,dante__poet,wittgenstein__philosopher,goethe__poet,euler__mathematician,,
caesar__emperor,mozart__composer,caesar__emperor,father__king,grandma__queen,daddy__chairman,superman__emperor,,
maxwell__physicist,kant__philosopher,maxwell__physicist,haydn__composer,descartes__mathematician,rembrandt__painter,hegel__philosopher,,
